"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Neighborhood","Phone Number Combined","Website","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"Seapower Inc","Mike","Sheahan","4918 N Harbor Dr # 103","San Diego","CA","92106","Roseville - Fleet Ridge","(619) 222-2828","Seapower-Inc.Com","874235","Power Plant Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00002","$228,000"
"Sempra Energy","William","Elder","10975 Technology Pl","San Diego","CA","92127","Rancho Bernardo","(858) 613-3360","Sempra.Com","492501","Gas Companies","221210","Natural Gas Distribution","00011","$14,723,000"
"Sempra International","George","Liparidis","488 8th Ave","San Diego","CA","92101","East Village","(619) 696-2000","Semprainternational.Com","491101","Electric Companies","221122","Electric Power Distribution","00012","$0"
"Sempra US Gas & Power LLC","Jeffrey W","Martin","488 8th Ave","San Diego","CA","92101","East Village","(619) 696-2000","Semprausgp.Com","492298","Natural Gas Transmission","486210","Pipeline Transportation Of Natural Gas","00008","$0"
"Seron Energy Inc","","","3755 Avocado Blvd","La Mesa","CA","91941","","(619) 741-4537","Seronenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Service Electric Inc","Robert","Buehler","300 Enterprise St # H","Escondido","CA","92029","Vineyard","(760) 291-1302","Serviceelectricco.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00003","$433,000"
"Smart Energy USA","","","713 S Twin Oaks Valley Rd","San Marcos","CA","92078","","(760) 749-1111","Smartenergyusa.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Solaire Energy Systems","Jarrod","Fisk","4562 Alvarado Canyon Rd # R","San Diego","CA","92120","Grantville","(619) 567-7366","Gosolaire.Com","171101","Heating Specialties","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$2,664,000"
"Solana Energy","Lane","Sharman","249 S Highway 101 # 564","Solana Beach","CA","92075","Solana Beach","(858) 755-2868","Solanaenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Solar City","","","5183 Mercury Pt","San Diego","CA","92111","Kearny Mesa","(858) 225-2600","Solarcity.Com","507405","Solar Energy Equipment-Wholesale","423720","Plumbing & Htg Equip/Supls (Hydronics) Mrchnt Whls","00005","$4,586,000"
"Solar Energy San Diego","Simon","White","750 B St # 3300a","San Diego","CA","92101","Core-Columbia","(619) 400-3681","Solarenergysandiego.Org","873103","Solar Energy Research & Development","541715","Research & Devmnt-Physical Engineering Life Sci","00012","$0"
"Solar Hydrogen Energy Co","Thomas","Oakes","10303 Centinella Dr","La Mesa","CA","91941","","(619) 670-6555","Solarhydrogenenergyco.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00003","$433,000"
"Solar Services Of San Diego","Chris","Wilder","10020 Prospect Ave # B2","Santee","CA","92071","","(619) 258-0846","Solahart.Com","507405","Solar Energy Equipment-Wholesale","423720","Plumbing & Htg Equip/Supls (Hydronics) Mrchnt Whls","00001","$918,000"
"South Bay Irrigation District","Jim","Smyth","505 Garrett Ave","Chula Vista","CA","91910","Downtown Chula Vista","(619) 427-0868","Sweetwater.Org","493902","Utilities","541618","Other Management Consulting Services","00002","$807,000"
"Speller Energy Consulting","","","574 Vista Miranda","Chula Vista","CA","91910","Rancho - Del Rey","(619) 421-3207","Spellerenergyconsulting.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Sunline Energy","Mathew","Margolin","7546 Trade St","San Diego","CA","92121","Miramar","(858) 263-1668","Tabufit.Com","507405","Solar Energy Equipment-Wholesale","423720","Plumbing & Htg Equip/Supls (Hydronics) Mrchnt Whls","00005","$4,586,000"
"Surge Global Energy Inc","","","12220 El Camino Real # 410","Solana Beach","CA","92075","","(858) 720-9500","Surgeglobalenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Sustainabilty Matters","","","910 Grand Ave # 101","San Diego","CA","92109","Pacific Beach","(619) 696-1068","Sustainabilitymatters.Us","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00001","$114,000"
"Synergy Co","","","9630 Black Mountain Rd # L","San Diego","CA","92126","Miramar","Not Available","Synergycompanies.Org","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Taylor Electric","Ron","Taylor","4809 Allied Rd","San Diego","CA","92120","Allied Gardens","(619) 286-3408","Taylor-Electric.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00001","$145,000"
"Terra-Gen Power LLC","","","11512 El Camino Real # 370","San Diego","CA","92130","Carmel Valley","(858) 764-3720","Terra-Genpower.Com","491101","Electric Companies","221122","Electric Power Distribution","00012","$6,722,000"
"Thorpe Energy Svc","Scott","Thorpe","4370 LA Jolla Village Dr # 400","San Diego","CA","92122","University City","(317) 429-9430","Thorpeenergyservices.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Title 24 Consultants","Dave","Schneider","1010 2nd Ave # 135a","San Diego","CA","92101","Core-Columbia","(619) 504-5610","Title24consultants.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00005","$570,000"
"Total Resource Management","Bruce","Desilva","8787 Complex Dr # 202","San Diego","CA","92123","Kearny Mesa","(858) 292-0633","Trmnet.Com","874203","Personnel Consultants","541612","Human Resources Consulting Services","00005","$570,000"
"TRM Mechanical","Thomas","Marshall","648 Lucylle Ln","Encinitas","CA","92024","","(760) 753-4702","Navy.Mil","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Turbo Construction Management","Jesse","Wood","8080 LA Mesa Blvd # 213","La Mesa","CA","91942","","(619) 697-3149","Turbocm.Com","874212","Energy Conservation & Mgmt Consultants","541612","Human Resources Consulting Services","00002","$228,000"
"Unified Mechanical Corp","John","Rooney","1749 Julian Ave","San Diego","CA","92113","Logan Heights","(619) 795-7332","Unifiedmechanical.Org","171114","Mechanical Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00005","$721,000"
"Upgrade Electric","Arturo","Hernandez","3034 Village Pine Dr # B","San Ysidro","CA","92173","Otay Mesa West","(619) 664-9693","Upgrade-Electrical.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00001","$145,000"
"Us Green Energy Tech Inc","","","11956 Bernardo Plz Dr Pmb 343","San Diego","CA","92128","Rancho Bernardo","(877) 400-9881","Usgreensolar.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00008","$1,153,000"
"Vcore Inc","Luke","Stephenson","5963 LA Place Ct # 104","Carlsbad","CA","92008","","(760) 931-7000","Micro-Lng.Com","871150","Engineers-Energy Management","541330","Engineering Services","00006","$1,153,000"
"West Coast Electric Solutions","Paul","D'Agostino","2517 Galveston St","San Diego","CA","92110","Bay Park","(858) 565-7897","Wcesolutions.Com","173101","Electric Contractors","238210","Electrical Contr & Other Wiring Installation Contr","00002","$289,000"
"Western Energy Production","Steven","Marshall","16909 Via DE Santa Fe # 100","Rancho Santa Fe","CA","92067","","(858) 756-1010","Westgov.Org","152103","General Contractors","236115","New Single-Family Hsng Constr (Exc For-Sale Bldrs)","00004","$1,332,000"
"Winn Energy Controls Inc","","","2637 Ariane Dr","San Diego","CA","92117","Bay Ho","(858) 274-1330","Winnenergy.Com","171131","Energy Management Systems & Products","238220","Plumbing Htg & Air-Conditioning Contractors","00004","$577,000"
