"Company Name","Address","City","State","ZIP Code","Neighborhood","Phone Number","Phone Number Combined","Website","Company Description","Primary SIC Code","Primary SIC Description","Primary NAICS","Primary NAICS Description","Location Employee Size Actual","Location Sales Volume Actual"
"Computer Market Research","9909 Huennekens St # 110","San Diego","CA","92121","Sorrento Valley","5588341","(858) 558-8341","Miodatos.Bz","For more than 26 years, Computer Market Research Ltd. has been one of the world s leading channel data management providers to Fortune 500 technology companies. Based in San Diego, Calif., the firm delivers web-based applications and services to manufacturers to assist in channel data management. Its client/server and web-based solutions accelerate distributor and reseller data collection, processing, analysis and reporting. Computer Market Research Ltd. utilizes modules, such as CMR Channel POS, CMR Co-op/MDF, CMR Special Pricing Authorization, CMR Deal Registration and CMR integration with Salesforce.com. It has corporate associations with Chanimal Marketing, Channel-360, Everything Channel and Salesforce.com.","873204","Market Research & Analysis","541910","Marketing Research & Public Opinion Polling","00030","$0"
"Comunicano Inc","1155 Camino Del Mar # 512","Del Mar","CA","92014","Del Mar","5231800","(858) 523-1800","Speakersandlisteners.Net","","874214","Marketing Consultants","541613","Marketing Consulting Services","00029","$3,302,000"
"Conrad Acceptance Corp","476 W Vermont Ave","Escondido","CA","92025","Kit Carson","7355000","(760) 735-5000","Conradco.Com","Established in 1990, Conrad Acceptance Corporation, a part of Conrad Companies, is a consumer finance company. Founded in 1989, The Conrad Companies is a national corporation currently based in San Diego, Calif., with satellite offices in Utah and Florida. It provides financial services, including every aspect of accounts receivable management, from billing to funding (finance) to default collections. Conrad Acceptance Corporation s sister firm, Conrad Credit Corporation is a collection agency serving nationwide clients. Some of its services include Credit bureau reporting, payment processing, monthly accounting and collection calls.","732201","Collection Agencies","561440","Collection Agencies","00032","$3,380,000"
"Construction Testing & Engnrng","1441 Montiel Rd # 115","Escondido","CA","92026","Country Club","7464955","(760) 746-4955","Cte-Inc.Net","Construction Testing and Engineering provides its clients with an opportunity to partner with a single source engineering firm that provides design engineering and quality control services throughout the duration of a project. This enables its clients a coordinated transition through the sequential phases of the environmental, geotechnical, civil engineering design and construction quality control requirements of a project. The company s services include civil engineering design, such as design development, map preparation, civil engineering reports and plan preparation; environmental engineering, including Phase I and II site assessments, full risk assessment, preliminary endangerment assessment, field material samplings, site characterization, remediation coordination, contaminant analysis, environmental coordination, impact planning and historical site research; quality assurance; surveying, including construction surveys, topographic surveys, aerial photogrametric surveys, property surveys, route surveys and Alta surveys; geotechnical engineering and exploring; structural and non-structural construction inspection; and materials testing of materials and soils. Construction Testing and Engineering is headquartered in Escondido, Calif.","873402","Laboratories-Testing","541380","Testing Laboratories","00040","$0"
"Coronado Unified School Dist","201 6th St","Coronado","CA","92118","","5228900","(619) 522-8900","Coronado.K12.Ca.Us","The Coronado Unified School District governs various elementary, middle and high schools. It provides academic classes to students in kindergarten through grade 12. The district s schools offer educational programs in reading, music, language arts, math, English, science, social studies, physical education and foreign languages. Its schools organize a range of athletic activities that includes volleyball, basketball, softball, baseball, cross-country, soccer, and track and field. The Coronado Unified School District operates through budget, human resources, food services and technology departments. The district s schools maintain libraries that stock books and reference materials. The Coronado Unified School District has its administrative office in Coronado, Calif.","821103","Schools","611110","Elementary & Secondary Schools","00020","$0"
"Correctional Alternatives Inc","551 S 35th St","San Diego","CA","92113","Mountain View","2327522","(619) 232-7522","Cca.Com","","874499","Correctional Institutions-Private","561210","Facilities Support Services","00034","$0"
"Crossflo Systems Inc","11260 El Camino Real # 100","San Diego","CA","92130","Carmel Valley","7242216","(858) 724-2216","Crossflo.Com","Patriot Data Solutions Group, Inc. provides products and solutions that enable mission-critical organizations to significantly accelerate the time to value and reduce total cost of ownership for their data-sharing initiatives. Additionally, Patriot offers real-time visualization for public safety and emergency response all supported by a best-of-class, standards-based data sharing technology and deep domain, data sharing standards expertise. At the state and local public safety level, the company works with state and regional Fusion Centers and Emergency Operations Centers and Regional and County Integrated Justice Initiatives.","874213","Marketing Programs & Services","541613","Marketing Consulting Services","00020","$2,278,000"
"CRW Associates","16980 Via Tazon # 320","San Diego","CA","92127","Rancho Bernardo","4513030","(858) 451-3030","Crw.Com","","871110","Engineers-Civil","541330","Engineering Services","00020","$3,842,000"
"CTI","15150 Avenue Of Science # 100","San Diego","CA","92128","Carmel Mountain","7531110","(858) 753-1110","Jeckwild.Com","","737206","Computer Software","511210","Software Publishers","00049","$20,168,000"
"Cubic Global Defense","9333 Balboa Ave","San Diego","CA","92123","Kearny Mesa","2776780","(858) 277-6780","Cubic.Com","","874876","Defense Contractors","541618","Other Management Consulting Services","00035","$0"
"Cubic Mission Solutions","9333 Balboa Ave","San Diego","CA","92123","Kearny Mesa","2776780","(858) 277-6780","Cubic.Com","","874876","Defense Contractors","541618","Other Management Consulting Services","00035","$0"
"Cumming Construction Mgmt Inc","15015 Avenue Of Science # 160","San Diego","CA","92128","Carmel Mountain","4856765","(858) 485-6765","Cgroupusa.Com","","874130","Management Services","561110","Office Administrative Services","00035","$7,470,000"
"Curtis Management Co","5050 Avenida Encinas # 160","Carlsbad","CA","92008","","5879844","(858) 587-9844","Curtismanagement.Com","Curtis Management Company was founded and became a California Corporation on August 15, 1982. We manage Common Interest Developments ( CIDs ) exclusively. This includes master planned communities, condominiums and planned residential developments and condo conversions ranging from 150 to 1, 800 units. Our firm covers all areas of San Diego and Orange Counties.We recognize that our most valuable asset is our people, and we currently employ a team of experienced community association managers, administrative assistants and accounting personnel. They work in a positive environment with state of the art computer and office equipment.Open and proactive communication between management and staff is a contributing factor of our success and excellent customer relations. Our Vice-president of Operations and company President have been employed since 1984 and the average tenure of our staff is six years. This provides our clients with continuity in management and support services. Over the years we have enhanced our employee benefits by providing a profit sharing retirement plan for each full time employee.CMC has been a long time member of Community Association Institute ( CAI ) who conducts educational forums and seminars for community associations management professionals. Our company President, Patrick S. Campbell served as President of the San Diego Chapter during the 1999 term.Our management philosophy has always been to provide the Board of Directors with the necessary education to preserve, protect and enhance the value of their communities. We are dedicated to setting the standard of excellence in our industry by providing each client with superior performance and dedicated personalized service.Curtis Management Company's management team of professionals realize that no two associations are identical, but given the opportunity, we are certain that we can achieve the goals and objectives set by it's Board of Directors.Philip W. Glorioso, Community Association Manager / Accounting & Risk Manager","653108","Real Estate Management","531210","Offices Of Real Estate Agents & Brokers","00020","$2,661,000"
"Cytometry Research","10451 Roselle St # 102","San Diego","CA","92121","Sorrento Valley","6421988","(858) 642-1988","Atsbio.Com","","873108","Pharmaceutical Research Laboratories","541715","Research & Devmnt-Physical Engineering Life Sci","00048","$0"
"D'Amato Conversano Inc","101 W Broadway # 1260","San Diego","CA","92101","Horton Plaza","2340501","(619) 234-0501","Dci-Engineers.Com","","871137","Engineers-Structural","541330","Engineering Services","00025","$0"
"DCI Engineers","101 W Broadway # 1260","San Diego","CA","92101","Horton Plaza","2340501","(619) 234-0501","Dci-Engineers.Com","","871137","Engineers-Structural","541330","Engineering Services","00026","$4,994,000"
"Decision Sciences Intl Corp","12345 First American Way # 100","Poway","CA","92064","","5711900","(858) 571-1900","Decisionsciencescorp.Com","","381298","Search Detection/Nav Systs/Instr (Mfrs)","334511","Search Detection & Navigation Instruments","00040","$0"
"Deer Springs Fire Dept","8709 Circle R Dr","Escondido","CA","92026","","7498001","(760) 749-8001","Deerspringsfire.Org","","922404","Fire Departments","922160","Fire Protection","00025","$0"
"Delphinus Engineering Inc","1596 Jayken Way # B","Chula Vista","CA","91911","Otay Town","4985400","(619) 498-5400","Delphinus.Com","Founded in 1994, Delphinus Engineering Inc. offers expertise in information technology, marine engineering, marine services, facilities operations and maintenance and business management. Located in Chula Vista, Calif., with offices nationwide, it caters to the defense and federal services industry. Its information technology (IT) services include infrastructure design, system implementation, migration, certification and more. The marine engineering division provides naval architecture services such as design engineering, technical assistance, modernization and upgrade. Providing installation services to surface and subsurface marine vessels, its marine services division also installs FutureFLEX Air Blown Fiber Optic Cabling systems. Facilities operation and maintenance services include restoration and remodeling of existing facilities and its daily maintenance while business management includes strategic planning, business process re-engineering, risk management, etc. An ISO-9001:2000 registered company, its list of clients includes the U.S. Navy, U.S. Coast Guard, U.S. Army and Military Sealift Command, among others.","871106","Engineers","541330","Engineering Services","00042","$8,067,000"
"Dentox","8654 Nottingham Pl","La Jolla","CA","92037","La Jolla Heights","5509533","(858) 550-9533","Lipaugmentationfordentistry.Com","","821108","Educational Programs","611691","Exam Preparation & Tutoring","00025","$0"
"Dentox Botox Training","8654 Nottingham Pl # 18","La Jolla","CA","92037","La Jolla Heights","5509533","(858) 550-9533","Dentox.Com","","821108","Educational Programs","611691","Exam Preparation & Tutoring","00025","$0"
"Dependable Nursing Svc LLC","5055 Avenida Encinas # 120","Carlsbad","CA","92008","","4300550","(858) 430-0550","Dependablenursing.Org","Dependable Nursing is a health care agency that serves children and adults with a range of diagnosed physical and mental challenges throughout Southern California. The agency provides skilled nursing care, assessment and evaluation services to patients. It works in partnership with patients, families, community agencies and physicians. Dependable Nursing also offers school vision and hearing screening services. The agency provides homemaker, consulting and nurse technology training solutions. In addition, it offers before- and after-school and janitorial nursing services. The agency assists the patients in and out of beds and wheelchairs, as well as provides ambulation and medication solutions. Dependable Nursing serves patients in homes and schools.","808201","Home Health Service","621610","Home Health Care Services","00030","$1,919,000"
"Destination Concepts","2620 Financial Ct # 101","San Diego","CA","92117","Bay Ho","4902250","(858) 490-2250","Dcilosangeles.Info","Destination Concepts, also known as DCi, offers a range of event design and management services. The company has been in operation for more than 60 years. It coordinates and oversees events for up to 20,000 people. The company s clients include IBM, Bucom International, Cisco Systems, General Motors, Hewlett-Packard, Johnson & Johnson and AT&T Intellectual Property. Destination Concepts offers site selection, hotel coordination, and logistics, food and beverage management services for various events, such as exhibitions, business meetings and conferences. Destination Concepts is a member of the National Association of Women Business Owners (NAWBO), Association of Destination Management Executives (ADME) and Women s Business Enterprises National Council (WBENC).","472402","Travel Agencies & Bureaus","561510","Travel Agencies","00033","$3,518,000"
"Dewhurst & Assoc","7533 Girard Ave","La Jolla","CA","92037","Village","4540180","(858) 454-0180","Dewhurst.Com","Established in 1929, Dewhurst & Associates is a building, construction and architectural firm, specializing in designing and building custom homes and properties in the La Jolla, Calf. area. The company also offers related services like space planning, material selection, detail designing, appliance and fixture selection. It is a design/build firm, serving the greater San Diego area and surrounding communities. In addition, it designs and constructs functional kitchens, cabinets and built-in furniture for its clients. Dewhurst & Associates holds memberships with industrial associations, including La Jolla Historical Society, San Diego Regional Chamber of Commerce and Building Industry Association of San Diego.","152139","Remodeling & Repairing Bldg Contractors","236118","Residential Remodelers","00032","$10,654,000"
"DGA","445 W Ash St","San Diego","CA","92101","Core-Columbia","6853990","(619) 685-3990","Dgaonline.Com","","871202","Architects","541310","Architectural Services","00030","$5,043,000"
"Dickinson Cameron Construction","6184 Innovation Way","Carlsbad","CA","92009","Bressi Ranch","4389114","(760) 438-9114","Dickinsoncameron.Com","","871201","Building Designers","541310","Architectural Services","00020","$3,362,000"
"Donn C Gilmore & Assoc","591 Camino DE LA Reina # 1107","San Diego","CA","92108","Mission Valley East","6182347","(619) 618-2347","Dcgainc.Com","","871111","Engineers-Consulting","541330","Engineering Services","00025","$4,802,000"
"Douglas Wilson Co","1620 5th Ave # 400","San Diego","CA","92101","Cortez","6411141","(619) 641-1141","Douglaswilson.Com","Founded in 1989, Douglas Wilson is one of the largest business services entities providing a wide range of specialized business, workout and real estate services throughout the United States. Based in San Diego, Calif., it offers services, including workout/problem resolution, crisis/force major response, asset management, consulting, business planning, receivership, development, entitlement and construction management services. The company caters to a number of industries, such as law firms, state and federal courts, corporations, partnerships, pension funds, REIT's, financial institutions and property owners. Douglas Wilson has affiliation with Wilson Properties. Its client list includes ABN- AMRO, Allen Matkins, Bank of America, Cal Fed, Eastrich Multiple Investors Fund, to name a few.","653108","Real Estate Management","531210","Offices Of Real Estate Agents & Brokers","00045","$0"
"Dp Associates Inc","7436 Mission Valley Rd","San Diego","CA","92108","Mission Valley East","2957490","(619) 295-7490","L-3training.Com","Founded in 1986, D.P. Associates is a technical services company that offers training systems analysis, design, development and implementation services. Headquartered in Arlington, Va., the company has more than 400 employees, including instructional systems development specialists, training technologists, computer-based training programmers, computer graphic artists and multimedia production personnel. It operates over 30 offices in nearly 10 U.S. states. D.P. Associates offers specialized interactive multimedia training programs and interactive technical manual technologies to government entities. Its corporate strategies include the thorough analysis of training requirements and the subsequent conversion to an installed, fully integrated learning environment. The company also provides management and systems engineering support for a variety of vertical flight aircraft programs. It additionally offers engineering, technical and programmatic support to naval divisions. D.P. Associates maintains a presence in San Diego.","874402","Aerospace Support Services-Technical","561210","Facilities Support Services","00022","$3,121,000"
"Drake Center For Vet Care","195 N El Camino Real","Encinitas","CA","92024","","7539393","(760) 753-9393","Thedrakecenter.Com","Founded in 1989, The Drake Center For Veterinary Care provides a range of health care services. It offers preventive care, pain management, dentistry, diagnostic imaging, surgical, laboratory, hospitalization, boarding and bathing services. The center also provides vaccination, parasite control and anesthetic monitoring services. The Drake Center For Veterinary Care conducts physical examinations for pets. It uses Hydrosurge Bathing System for routine and specialized medical bathing services. The center also offers prescription refill services. The Drake Center For Veterinary Care provides online articles that focus on health-related information for pets. It is a member of the American Animal Hospital Association and the Better Business Bureau.","873429","Veterinary Medical Laboratories","541940","Veterinary Services","00030","$0"
"DSD Business Systems","8787 Complex Dr # 400","San Diego","CA","92123","Kearny Mesa","5505900","(858) 550-5900","Retenacity.Biz","","737101","Computer Services","541511","Custom Computer Programming Services","00030","$4,279,000"
"E C G Management Consultants","11512 El Camino Real # 200","San Diego","CA","92130","Carmel Valley","7557860","(858) 755-7860","Ecgmc.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00025","$2,847,000"
"E Study Site","3998 Vista Way # 102","Oceanside","CA","92056","Tri-City","7265540","(760) 726-5540","Estudysite.Com","","873108","Pharmaceutical Research Laboratories","541715","Research & Devmnt-Physical Engineering Life Sci","00048","$0"
"Eedar","2075 Corte Del Nogal # B","Carlsbad","CA","92011","","5797100","(760) 579-7100","Eedar.Com","","873204","Market Research & Analysis","541910","Marketing Research & Public Opinion Polling","00041","$0"
"Electronic Output Solutions","2510 Commerce Way","Vista","CA","92081","","5999945","(760) 599-9945","Eoshost.Com","Established in 2001, Electronic Output Solutions specializes in providing mailing and marketing services for various industries. The company's capabilities include data processing, digital printing, intelligent inserts, high-speed inkjet, addressing and creative designs. Based in Vista, Calif., the firm offers a line of services, such as e-mail, personalized URLs (PURL) and landing pages and direct mail. Its services include direct marketing, postcards, print on demand, pageflex storefront, response tracking, list management, daily notices and statement invoices. In addition, Electronic Output Solutions produces personalized documents in print and digital formats and links cross media messages.","733101","Mailing & Shipping Services","541860","Direct Mail Advertising","00025","$1,716,000"
"Enviromatrix Analytical Inc","4340 Viewridge Ave # A","San Diego","CA","92123","Kearny Mesa","5607717","(858) 560-7717","Enviromatrixinc.Com","","873111","Environmental & Ecological Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"Environmental Science Assoc","550 W C St # 750","San Diego","CA","92101","Core-Columbia","6380900","(858) 638-0900","Esassoc.Com","Founded in 1969, ESA is an environmental consulting firm. Based in San Diego, Calif., it specializes in all aspects of project planning, environmental analysis and assessment, natural resource management and regulatory compliance. The firm offers an array of services, such as project planning and feasibility, federal and state environmental compliance, regulatory permitting and compliance monitoring, technical and scientific studies. In addition, it provides natural resource management, sustainability and public outreach and facilitation. ESA caters to a diverse clientele, including Bay Area Air Quality Management District, Chicago O'Hare International Ill. and Elk Grove Unified School District, to name a few.","873111","Environmental & Ecological Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"Escondido Library","239 S Kalmia St","Escondido","CA","92025","Central Escondido","8394683","(760) 839-4683","Library.Escondido.Org","","823106","Libraries-Public","519120","Libraries & Archives","00027","$0"
"Esgil Corp","9320 Chesapeake Dr # 208","San Diego","CA","92123","Kearny Mesa","5601468","(858) 560-1468","Esgil.Com","For more than 30 years, EsGil Corporation has been providing building safety regulatory services to public agencies. Based in San Diego, Calif., the corporation specializes in plan review services to city, county and state agencies and other governmental entities. It also reviews construction documents to verify compliance with the adopted regulatory codes. EsGil Corporation caters to high-rise buildings, resorts and hotels, casinos, regional shopping centers/malls, hospitals/clinics, stadiums/sports arenas, auditoriums/performing arts centers, police/fire stations and industrial facilities.","871110","Engineers-Civil","541330","Engineering Services","00030","$5,763,000"
"ETC Building & Design","6805 Nancy Ridge Dr","San Diego","CA","92121","Sorrento Valley","5541150","(858) 554-1150","Etcusa.Net","","152103","General Contractors","236115","New Single-Family Hsng Constr (Exc For-Sale Bldrs)","00020","$0"
"Eton Bioscience","5820 Oberlin Dr # 108","San Diego","CA","92121","Sorrento Valley","5581630","(858) 558-1630","Etonbio.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00030","$0"
"Eurogentec North America","11111 Flintkote Ave # A","San Diego","CA","92121","Torrey Preserve","8752730","(858) 875-2730","Eurogentec.Com","","873127","Biology Consultants","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00020","$0"
"Executive Level Sales Otsrc","2871 Rancho Diamonte","Carlsbad","CA","92009","","4381741","(760) 438-1741","Elsos.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00020","$2,278,000"
"Expense Reduction Analysts","10616 Scripps Summit Ct","San Diego","CA","92131","Sabre Springs","7957400","(858) 795-7400","Expensereduction.Com","","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00022","$2,505,000"
"Ferguson Pape Baldwin Archt","4499 Ruffin Rd # 300","San Diego","CA","92123","Kearny Mesa","2310751","(619) 231-0751","Fpbarch.Com","Founded in 1976, Ferguson Pape Baldwin Architects is one of the largest, full-service design firms in San Diego. The firm offers architectural, planning, and space, laboratory, hazardous occupancy and interior design solutions. It serves clients in the advanced technology, municipal, government, military, entertainment and hospitality markets. Ferguson Pape Baldwin Architects provides master, site development, and agency coordination and processing planning services. The firm also offers building evaluation, contract administration and tenant improvement solutions. It provides interior finish selection and specification services, as well as architectural and planning feasibility studies options. In addition, Ferguson Pape Baldwin Architects offers graphics and interior signage solutions.","871202","Architects","541310","Architectural Services","00035","$5,883,000"
"Fibertech Engineering","611 Rock Springs Rd","Escondido","CA","92025","Central Escondido","7356277","(760) 735-6277","Fibertecheng.Com","Fiber-Tech Engineering has been serving the industrial marketplace with premium quality composite products for more than 30 years. The company s components are fabricated utilizing a variety of premium corrosion-resistant and fire-retardant resin systems. It has the ability to take a project from initial concept through completed production, with an engineering staff that uses the latest in computer-aided software. The company employs a variety of composite manufacturing processes that include wet lay up, chopper gun spray up, filament winding, resin transfer molding and vacuum assist resin transfer molding. Fiber-Tech Engineering is a privately held company that is located in Escondido, Calif.","329601","Fiber Glass Fabricators (Mfrs)","327993","Mineral Wool Manufacturing","00035","$18,368,000"
"First Dental Health","5771 Copley Dr","San Diego","CA","92111","Kearny Mesa","6890904","(858) 689-0904","Firstdentalhealth.Com","","874243","Dental Practice-Management & Consultants","541611","Administrative & General Mgmt Consulting Services","00030","$0"
"Flores Financial Svc","9600 Cuyamaca St # 102","Santee","CA","92071","","5882411","(619) 588-2411","Flores-Financial.Com","","872102","Accounting & Bookkeeping General Svc","541219","Other Accounting Services","00034","$4,847,000"
"Forward Slope Inc","2020 Camino Del Rio N # 400","San Diego","CA","92108","Mission Valley East","2994400","(619) 299-4400","Forwardslope.Com","Provide technical, operational, and financial consulting services to commercial and Department of Defense clients. About FSI The FSI team is comprised of individuals with backgrounds in Computer Science, Defense Acquisition, Finance, Force Protection, Information Technology, Meteorology, and Oceanography. Our staff includes cutting-edge technologists, data management experts, and retired military officers. Forward Slope offers a very strong, forward thinking Small Business Prime option for the DoN customer. We have assembled an exceptional team with uniquely placed world-class talent to provide outstanding Engineering, Technical and Programmatic support services to the SeaPort enhanced customer base across all seven Geographic Zones. FSI was named one of the top 10 fastest-growing private companies in San Diego by the San Diego Business Journal ( PDF ) Read the interview with FSI's President Carlos Persichetti Executive Vice President Kevin Noonan in the University of San Diego's School of Business Administration Alumni Magazine","874201","Business Management Consultants","541614","Process, Physical Distr/Logistics Consulting Svcs","00038","$4,327,000"
"G Force","4035 Pacific Hwy # A","San Diego","CA","92110","Mission Hills","5836633","(619) 583-6633","Gforce.Com","","738999","Business Services NEC","561990","All Other Support Services","00020","$2,109,000"
"Gap Intelligence Inc","2448 Historic Decatur Rd # 105","San Diego","CA","92106","Naval Training Center","5741100","(619) 574-1100","Gapintelligence.Com","","873204","Market Research & Analysis","541910","Marketing Research & Public Opinion Polling","00040","$0"
"Gary & Mary West","10350 N Torrey Pines Rd","La Jolla","CA","92037","Torrey Pines","4128600","(858) 412-8600","Westhealth.Org","","504704","Physicians & Surgeons Equip & Supls-Whls","423450","Medical, Dental/Hospital Equip/Supls Mrchnt Whlsrs","00045","$58,734,000"
"Gatto Pope Walwick LLP","550 W C St # 1700","San Diego","CA","92101","Core-Columbia","2827366","(619) 282-7366","Gpwk.Com","","872101","Accountants","541211","Offices Of Certified Public Accountants","00040","$5,702,000"
"Gen Way Biotech Inc","6777 Nancy Ridge Dr","San Diego","CA","92121","Sorrento Valley","4580866","(858) 458-0866","Glycosight.Com","","873126","Biotechnology Products & Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00027","$0"
"Get Engineering Corp","9350 Bond Ave","El Cajon","CA","92021","","4438295","(619) 443-8295","Getntds.Com","GET Engineering Corporation was founded in 1982 as an engineering firm providing naval tactical data systems (NTDS) products to government and industrial clients. It is a privately held corporation that participates in a worldwide market and is one of the leading suppliers for commercial NTDS products. The company has more than 300 customers, including the United States Department of Defense and commercial contracting communities. GET Engineering s corporate headquarters is located in El Cajon, Calif., with nearly 10 other sales offices throughout the world.","357702","Computer Peripherals (Mfrs)","334118","Computer Terminal/Other Computer Prphrl Equip Mfg","00020","$3,049,000"
"Graphic Business Solutions Inc","1912 John Towers Ave","El Cajon","CA","92020","","2584081","(619) 258-4081","Houseofmarketing.Com","","874112","Printing Consultants","561110","Office Administrative Services","00040","$8,537,000"
"Group Delta Consultants","9245 Activity Rd # 103","San Diego","CA","92126","Miramar","5361000","(858) 536-1000","Geotechnicsinc.Com","Operational for more than 15 years, Geotechnics Incorporated provides geotechnical and environmental consulting services for public and private clients. It undertakes geologic hazardous and groundwater studies, as well as forensic geotechnical investigations. The company offers construction management, quality control, environmental assessment and remediation services. Geotechnics Incorporated is staffed with engineers, geologists, scientists and technicians. In addition, it provides services for hospitals, universities, schools, dams, single-family custom homes, pipelines and water treatment plants. The company has in-house laboratories that offer technical assistance services. Additionally, Geotechnics Incorporated conducts soil, groundwater and surface water analysis and methane gas surveys.","871119","Engineers-Geotechnical","541330","Engineering Services","00020","$3,842,000"
"H & P Mobile Geochemistry","2470 Impala Dr","Carlsbad","CA","92010","","8049678","(760) 804-9678","Handpmg.Com","","873414","Laboratories-Analytical","541380","Testing Laboratories","00020","$0"
"H M Pitts Labs Inc","2434 Southport Way # J","National City","CA","91950","National City","4748548","(619) 474-8548","Hmpittlabs.Com","","873402","Laboratories-Testing","541380","Testing Laboratories","00020","$0"
"Habitat West Inc","2067 Wineridge Pl # B","Escondido","CA","92029","Vineyard","7359378","(760) 735-9378","Habitatwest.Com","","873111","Environmental & Ecological Services","541714","Research-Devmnt In Biotechnology (Except Nanobio)","00035","$0"
"Har Bro Inc","455 54th St # 101","San Diego","CA","92114","Valencia Park","3980200","(619) 398-0200","Harbro.Com","Founded in 1961, Har-Bro Inc. is a full-service mitigation as well as reconstruction provider for properties damaged by water, fire, flood and other disasters. The firm provides services to commercial, residential, high-rise and community restoration properties. It operates through nine locations on the West Coast. Har-Bro Inc. partners with the California Association of Community Managers (CACM), Building Owners and Managers Association (BOMA), Women on Course (WOC), Community Association Institute and Southern California Insurance Professionals among others. Har-Bro Inc. also handles man-made disasters, such as explosions, fire, roof collapses, vandalism as well as pipe/sewage bursts.","152103","General Contractors","236115","New Single-Family Hsng Constr (Exc For-Sale Bldrs)","00025","$8,324,000"
"Hargis & Assoc Inc","9171 Towne Centre Dr # 375","San Diego","CA","92122","University City","4556500","(858) 455-6500","Hargis.Com","Founded in 1979, Hargis + Associates Inc. is an environmental consulting firm. Located in San Diego, Calif., it offers services, including hydrogeology and engineering to assists mining clients. The firm identifies and develops groundwater resources for sustainable water supply projects. It provides a wide range of services, such as design, permitting, contracting and construction of remediation systems, fate/ transport modeling, risk evaluation and many more. The firm specializes in offering water supply, fluids discharge management, aquifer protection, water quality mitigation, stormwater management and construction dewatering engineering.","497101","Hydrologists","221310","Water Supply & Irrigation Systems","00035","$8,422,000"
"Harper Construction Co","2241 Kettner Blvd # 300","San Diego","CA","92101","Little Italy","2337900","(619) 233-7900","Harperconstruction.Com","Founded in 1974, Harper Construction provides is a design-build general contractor. Based in San Diego, Calif., it offers services for preconstruction, construction as well as design/development phase. The company's construction projects span military lodges/hotels, retail and community centers, single and multi-family housing, training facilities and aviation control towers, among others. Harper Construction also serves the U.S. Navy, U.S. Marine Corps and Air Force. In addition, the company provides Leadership in Energy and Environmental Design (LEED) project analysis as well as registration and certification as a part of its construction phase services.","152144","Construction Companies","236115","New Single-Family Hsng Constr (Exc For-Sale Bldrs)","00041","$13,650,000"
"Haulsey Engineering Inc","10768 Scripps Ranch Blvd","San Diego","CA","92131","Scripps Ranch","2711780","(858) 271-1780","Haulseyengr.Com","Haulsey Engineering, founded in 1985, is a veteran-owned small business that provides integrated logistics support services. The company offers technical services for the Department of Defense. It provides thermal, manpower, database, food service and postal operations management solutions. Haulsey Engineering also offers program office, product life cycle, and computer software and hardware maintenance support services. The company provides strategic planning, aviation outfitting and supply analysis solutions, as well as documentation, handling, packaging and staffing options. In addition, it offers system safety, testability, supportability, reliability and maintainability engineering solutions. Haulsey Engineering serves government agencies and Fortune 500 corporations in the United States.","871133","Engineers-Professional","541330","Engineering Services","00039","$7,491,000"
"Hazard Construction Co","6465 Marindustry Dr","San Diego","CA","92121","Sorrento Valley","5873600","(858) 587-3600","Hazardconstruction.Com","Hazard Construction Company is a general engineering contracting firm with a focus on private sector work. The company is located in San Diego, Calif. It performs and manages commercial site development, residential subdivisions, golf course construction and public sector projects throughout Southern California. Hazard Construction Company uses current technology and latest industry-specific software programs for estimating, project scheduling, material and equipment control and special studies. The firm's construction expertise encompasses demolition and grading, paving and surface improvements, storm drains, concrete drainage structures, bridges, concrete structures and walls.","161101","Paving Contractors","237310","Highway Street & Bridge Construction","00030","$8,805,000"
"Heating & Cooling Supply LLC","3970 Home Ave","San Diego","CA","92105","Fairmont Park","2627543","(619) 262-7543","Gemaire.Com","Heating and Cooling Supply, a heating, ventilation and air conditioning wholesaler, was established in 1960 with one location in San Diego. The company has more than 20 branch warehouses serving small, medium and large licensed HVAC contractors throughout California, Arizona and southern Nevada. The company is a subsidiary of Watsco, one of the largest distributors of heating, ventilation, air conditioning and refrigeration products in the United States. Watsco operates from nearly 400 locations in more than 30 states and Puerto Rico, and serves approximately 38,000 contractor customers. Heating and Cooling Supply maintains a location in San Diego.","507505","Air Conditioning Supplies & Parts (Whls)","423730","Warm Air Heating & A/C Equip & Supls Mrchnt Whlsrs","00045","$0"
