ranking,company,first_name,last_ame,address,city,state,zip,neighborhood,phone,website,email,short_description,description,sic,sic_description,naics,naics_description,employees,revenue,tags,notes,username
,Training Center,,,525 Grand Ave,Spring Valley,CA,91977,,(619) 327-5400,Trainingcenter.Com,,,,833102,Rehabilitation Services,624310,Vocational Rehabilitation Services,7,$0 ,"employment, training",,
,Tri City Medical Ctr,,,6250 El Camino Real,Carlsbad,CA,92009,,(760) 476-2900,Tricitymed.Org,,,,833102,Rehabilitation Services,624310,Vocational Rehabilitation Services,7,$0 ,"employment, training",,
,Tri City Medical Ctr,,,161 Thunder Dr # 112,Vista,CA,92083,,(760) 940-7278,Tricitymed.Org,,,,833102,Rehabilitation Services,624310,Vocational Rehabilitation Services,4,$0 ,"employment, training",,
,Unyeway Inc,,,1261 Third Ave,Chula Vista,CA,91911,Castle Park,(619) 691-6346,Unyeway.Org,,,,833104,Cognitive Disability-Dev Disability Svcs,624310,Vocational Rehabilitation Services,8,$0 ,"employment, training",,
,UNYEWAY Inc,,,2330 Main St # E,Ramona,CA,92065,,(760) 789-5960,Unyeway.Org,,,,526108,Nurserymen,444220,"Nursery, Garden Center & Farm Supply Stores",9,"$1,825,000 ","employment, training",,
,Unyeway Inc,,,9320 Willowgrove Ave # B,Santee,CA,92071,,(619) 562-8393,Unyeway.Org,,,,833104,Cognitive Disability-Dev Disability Svcs,624310,Vocational Rehabilitation Services,4,$0 ,"employment, training",,
,Urban Corps,,,3127 Jefferson St,San Diego,CA,92110,Midway District,(619) 235-6884,Barriologanmad.Com,,,"Founded in 1989, Urban Corps of San Diego was formed through a partnership between local elected officials and community leaders. It provides job training and educational opportunities to men and women of 18 to 25 years of age, from disadvantaged, inner-city communities. Its Environmental Projects Department provides training to its members to protect and maintain the natural urban ecology in and around San Diego through conservation and preservation. Its Corps to Career program offers training in life skills and various occupations. It also undertakes various urban plantation and community service projects. The members volunteer for various community service programs for seniors and children in various communities. Its programs include Martin Luther King Jr. Parade, Cesar E. Chavez Activities, Franklin D. Roosevelt Tree Planting, North Park Toyland Parade and Community Clean-ups. Urban Corps of San Diego is headquartered in San Diego.",832222,Youth Organizations & Centers,624110,Child & Youth Services,170,"$10,644,000 ","employment, training",,
,Valueselling LLC,,,16236 San Dieguito Rd # 2-24,Rancho Santa Fe,CA,92091,,(858) 759-7954,Valueselling.Com,,,,874201,Business Management Consultants,541614,"Process, Physical Distr/Logistics Consulting Svcs",3,"$342,000 ","employment, training",,
,VEBS,,,2048 Aldergrove Ave # A,Escondido,CA,92029,Vineyard,(760) 747-1963,Vebs.Net,,,,833105,Employment Training Service,624310,Vocational Rehabilitation Services,10,$0 ,"employment, training",,
,Vibra Hospital Of San Diego,,,555 Washington St,San Diego,CA,92103,Hillcrest,(619) 260-8300,Vhsandiego.Com,,,"Continental Rehabilitation Hospital is a 110-plus-bed hospital that provides a range of inpatient and outpatient services. The hospital offers postacute care and acute rehabilitation services for patients. It provides physical, occupational, speech, recreational, respiratory, intravenous and aquatic therapies. The hospital also offers nutrition, pharmaceutical and ventilator weaning services. Continental Rehabilitation Hospital provides video and fiber-optic swallowing assessments and radiology options. The hospital also serves communities through various educational programs. It has a team of skilled therapists, rehabilitation nurses, physicians and health care professionals. The hospital is accredited by the Joint Commission on Accreditation of Healthcare Organizations. Continental Rehabilitation Hospital is located in San Diego.",806202,Hospitals,622110,General Medical & Surgical Hospitals,330,$0 ,"employment, training",,
,Victory Outreach Of San Diego,,,484 Parkbrook St,Spring Valley,CA,91977,,(619) 479-0993,Vosd.Tv,,,,836105,Residential Care Homes,623312,Assisted Living Facilities For The Elderly,4,$0 ,"employment, training",,
,Villa Pomerado,,,15615 Pomerado Rd,Poway,CA,92064,,(858) 613-4365,Pph.Org,,,"Villa Pomerado is a part of Palomar Pomerado Health, which operates several health centers and nursing homes in various cities throughout California. The nursing home provides medical, health, rehabilitative and residential care services. It offers respite, hospice and long-term care services. It provides several home and personal care services. Villa Pomerado is a 129-bed facility. The nursing home serves patients who suffer from traumatic physical and brain injuries. It specializes in stroke and wound management services. In addition, it offers physical, occupational, speech and language therapies to adults with mental and physical disabilities. The center is accredited by The Joint Commission on Accreditation. Villa Pomerado is located in Poway, Calif.",805101,Nursing & Convalescent Homes,623110,Nursing Care Facilities (Skilled Nursing Fclts),78,"$6,216,000 ","employment, training",,
,Village Square Nursing Ctr,,,1586 W San Marcos Blvd,San Marcos,CA,92078,,(760) 471-2986,Villagesquarerehab.Com,,,"Village Square Nursing and Rehabilitation Center is a part of Kindred Healthcare, which operates more than 30 nursing homes and health care centers throughout the United States. The center offers medical, rehabilitative and residential care services. It serves adults with orthopedic, neurological, degenerative and communication disorders. It provides nursing and counseling to patients who suffer from Alzheimer's and Parkinson s diseases. Village Square Nursing and Rehabilitation Center offers speech, language, occupational and physical therapies to adults with mental and physical disabilities. The center also specializes in diabetes, wound and pain management services. It provides housekeeping, personal laundry, nutritional meals and transportation services. In addition, the center organizes several cultural events and recreational activities, including social gatherings and exercise and spiritual programs. Its staff includes nutritionists, dietitians, medical specialists, social workers and nurses. Village Square Nursing and Rehabilitation Center is located in San Marcos, Calif., and houses over 100 residents.",804908,Nurses & Nurses' Registries,621399,Offices Of All Other Misc Health Practitioners,131,"$8,087,000 ","employment, training",,
,Western Medical Training Ctr,,,1161 E Main St # 205,El Cajon,CA,92021,,(619) 588-0488,Wmtc.Info,,,,862101,Professional Organizations,813920,Professional Organizations,3,$0 ,"employment, training",,
,Workshops For Warriors Inc,,,2970 Main St,San Diego,CA,92113,Barrio Logan,(619) 550-1620,Wfwusa.Org,,,,833105,Employment Training Service,624310,Vocational Rehabilitation Services,10,$0 ,"employment, training",,
